Error model,Functional Form,Transformation,code,addProp ,lhs
constant,,None,var ~ add(add.sd),,response variable
proportional,,None,var ~ prop(prop.sd),,response variable
power,,None,"var ~ pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,None,var ~ add(add.sd) + prop(prop.sd) + combined1(),addProp=1,response variable
additive+proportional,combined2,None,var ~ add(add.sd) + prop(prop.sd) + combined2(),addProp=2,response variable
additive+power,combined1,None,"var ~ add(add.sd) + pow(pow.sd, exponent) + combined1()",addProp=1,response variable
additive+power,combined2,None,"var ~ add(add.sd) + pow(pow.sd, exponent) + combined2()",addProp=2,response variable
constant,,log,var ~ lnorm(add.sd),,response variable
proportional,,log,var ~ lnorm(NA) + prop(prop.sd),,response variable
power,,log,"var ~ lnorm(NA) + pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,log,var ~ lnorm(add.sd) + prop(prop.sd) + combined1(),addProp=1,response variable
additive+proportional,combined2,log,var ~ lnorm(add.sd) + prop(prop.sd) + combined2(),addProp=2,response variable
additive+power,combined1,log,"var ~ lnorm(add.sd) + pow(pow.sd, exponent) + combined1()",addProp=1,response variable
additive+power,combined2,log,"var ~ lnorm(add.sd) + pow(pow.sd, exponent) + combined2()",addProp=2,response variable
constant,,boxCox,var ~ boxCox(lambda) + add(add.sd),,response variable
proportional,,boxCox,var ~ boxCox(lambda) + prop(prop.sd),,response variable
power,,boxCox,"var ~ boxCox(lambda) + pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,boxCox,var ~ boxCox(lambda) + add(add.sd) + prop(prop.sd) + combined1(),addProp=1,response variable
additive+proportional,combined2,boxCox,var ~ boxCox(lambda) + add(add.sd) + prop(prop.sd) + combined2(),addProp=2,response variable
additive+power,combined1,boxCox,"var ~ boxCox(lambda) + add(add.sd) + pow(pop.sd, exponent) + combined1()",addProp=1,response variable
additive+power,combined2,boxCox,"var ~ boxCox(lambda) + add(add.sd) + pow(pop.sd, exponent) + combined2()",addProp=2,response variable
constant,,yeoJohnson,var ~ yeoJohnson(lambda) + add(add.sd),,response variable
proportional,,yeoJohnson,var ~ yeoJohnson(lambda) + prop(prop.sd),,response variable
power,,yeoJohnson,"var ~ yeoJohnson(lambda) + pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,yeoJohnson,var ~ yeoJohnson(lambda) + add(add.sd) + prop(prop.sd) + combined1(),addProp=1,response variable
additive+proportional,combined2,yeoJohnson,var ~ yeoJohnson(lambda) + add(add.sd) + prop(prop.sd) + combined2(),addProp=2,response variable
additive+power,combined1,yeoJohnson,"var ~ yeoJohnson(lambda) + add(add.sd) + pow(pop.sd, exponent) + combined1()",addProp=1,response variable
additive+power,combined2,yeoJohnson,"var ~ yeoJohnson(lambda) + add(add.sd) + pow(pop.sd, exponent) + combined2()",addProp=2,response variable
constant,,logit,var ~ logitNorm(logit.sd),,response variable
proportional,,logit,var ~ logitNorm(NA) + prop(prop.sd),,response variable
power,,logit,"var ~ logitNorm(NA) + pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,logit,var ~ logitNorm(logit.sd) + prop(prop.sd),addProp=1,response variable
additive+proportional,combined2,logit,var ~ logitNorm(logit.sd) + prop(prop.sd),addProp=2,response variable
additive+power,combined1,logit,"var ~ logitNorm(logit.sd) + pow(pow.sd, exponent)",addProp=1,response variable
additive+power,combined2,logit,"var ~ logitNorm(logit.sd) + pow(pow.sd, exponent)",addProp=2,response variable
additive ,,yeoJohnson(logit()),var ~ yeoJohnson(lambda) + logitNorm(logit.sd),,response variable
proportional,,yeoJohnson(logit()),var ~ yeoJohnson(lambda) + logitNorm(NA) + prop(prop.sd),,response variable
power,,yeoJohnson(logit()),"var ~ yeoJohnson(lambda) + logitNorm(NA) + pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,yeoJohnson(logit()),var ~ yeoJohnson(lambda) + logitNorm(logit.sd) + prop(prop.sd),addProp=1,response variable
additive+proportional,combined2,yeoJohnson(logit()),var ~ yeoJohnson(lambda) + logitNorm(logit.sd) + prop(prop.sd),addProp=2,response variable
additive+power,combined1,yeoJohnson(logit()),"var ~ yeoJohnson(lambda) + logitNorm(logit.sd) + pow(pow.sd, exponent)",addProp=1,response variable
additive+power,combined2,yeoJohnson(logit()),"var ~ yeoJohnson(lambda) + logitNorm(logit.sd) + pow(pow.sd, exponent)",addProp=2,response variable
constant,,logit,var ~ probitNorm(probit.sd),,response variable
proportional,,probit,var ~ probitNorm(NA) + prop(prop.sd),,response variable
power,,probit,"var ~ probitNorm(NA) + pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,probit,var ~ probitNorm(probit.sd) + prop(prop.sd) + combined1(),addProp=1,response variable
additive+proportional,combined2,probit,var ~ probitNorm(probit.sd) + prop(prop.sd) + combined2(),addProp=2,response variable
additive+power,combined1,probit,"var ~ probitNorm(probit.sd) + pow(pow.sd, exponent) + combined1()",addProp=1,response variable
additive+power,combined2,probit,"var ~ probitNorm(probit.sd) + pow(pow.sd, exponent) + combined2()",addProp=2,response variable
additive ,,yeoJohnson(probit()),var ~ yeoJohnson(lambda) + probitNorm(probit.sd),,response variable
proportional,,yeoJohnson(probit()),var ~ yeoJohnson(lambda) + probitNorm(NA) + prop(prop.sd),,response variable
power,,yeoJohnson(probit()),"var ~ yeoJohnson(lambda) + probitNorm(NA) + pow(pow.sd, exponent)",,response variable
additive+proportional,combined1,yeoJohnson(probit()),var ~ yeoJohnson(lambda) + probitNorm(probit.sd) + prop(prop.sd) + combined1(),addProp=1,response variable
additive+proportional,combined2,yeoJohnson(probit()),var ~ yeoJohnson(lambda) + probitNorm(probit.sd) + prop(prop.sd) + combined2(),addProp=2,response variable
